projectName,SingleLineComments,TotalNoOfOperands,NoOfUniqueOperands,HalsteadProgramEffort,ES2016Compliant,HalsteadProgramVolume,LargestSignatureInFunction,NoOfObjects,HighestCyclomaticComplexity,ES2017Compliant,LongestCallingChain,AvgCallingChain,AvgFanIn,TotalNoOfOperators,Sloc,MultiLineComments,LargestCognitiveComplexity,NoofStatementsInLargestFunction,HighestFanIn,ES2015Compliant,HalsteadDifficulty,AvgNoOfStatementsInFunction,NoOfPropertiesInLargestObject,AvgCyclomaticComplexity,ES2018Compliant,HalsteadProgramLength,NoOfUniqueOperators,AvgFanOut,MaintainabilityIndex,HighestFanOut,AvgCognitiveComplexity,NoOfFunctionsDeclarations,AvgNoOfPropertiesPerObject,Lloc
"rimraf-2.6.3","32","24.0","21.0","5367.58","false","722.42","4","3","15.0","false","0.0","0.0","3.0","118.0","283","0","37.0","35","5","false","7.43","2","2","2.0","false","142.0","13.0","1.0","104.16728471714116","7","10.0","27","0","238"
"debug-4.1.1","57","64.0","50.0","35791.5","false","2542.01","4","13","112.0","false","0.0","0.0","2.0","348.0","560","27","314.0","26","4","false","14.08","0","4","2.0","false","412.0","22.0","0.0","99.3852452536412","5","13.0","61","0","445"
"bluebird-3.5.3","2","799.0","362.0","894824.13","false","26156.8","6","101","669.0","false","0.0","0.0","8.0","2236.0","5002","5","3262.0","54","18","false","34.21","-1","36","2.0","false","3035.0","31.0","0.0","90.28463510822951","5","15.0","616","2","4018"
"grunt-contrib-clean-2.0.0","4","5.0","5.0","126.8","false","63.4","3","1","8.0","false","0.0","0.0","0.0","15.0","46","1","21.0","15","1","false","2.0","1","2","2.0","false","20.0","4.0","5.0","122.75510197012443","16","6.0","6","2","37"
"grunt-contrib-watch-1.1.0","26","15.0","15.0","1578.9","true","315.78","2","1","22.0","false","0.0","0.0","0.0","53.0","124","1","79.0","17","0","false","5.0","0","1","3.0","false","68.0","10.0","0.0","114.03704056979507","0","12.0","16","1","84"
"mkdirp-0.5.1","8","9.0","7.0","1084.39","false","210.97","4","3","14.0","false","0.0","0.0","0.0","45.0","76","0","25.0","24","0","false","5.14","1","1","2.0","false","54.0","8.0","0.0","106.68348511795298","0","8.0","6","0","63"
"glob-7.1.3","107","101.0","66.0","28325.2","false","2314.15","8","3","18.0","false","0.0","0.0","0.0","263.0","548","0","36.0","45","0","false","12.24","1","0","2.0","false","364.0","16.0","0.0","94.22824211563562","4","5.0","40","0","473"
"karma-4.0.1","253","532.0","310.0","463250.23","false","14996.77","5","202","52.0","false","0.0","0.0","5.0","1246.0","3466","73","244.0","52","10","false","30.89","0","1313","2.0","false","1778.0","36.0","0.0","88.92130021098004","6","8.0","321","8","3671"
"eslint-plugin-react-7.12.4","0","9.0","7.0","96.17","false","49.83","2","12","3.0","false","0.0","0.0","0.0","6.0","155","0","4.0","7","0","true","1.93","0","78","1.0","false","15.0","3.0","0.0","96.45498250359512","0","1.0","4","2","50"
"gulp-rename-1.4.0","1","13.0","12.0","767.28","false","177.2","3","4","12.0","false","0.0","0.0","0.0","28.0","44","0","34.0","18","0","false","4.33","0","3","2.0","false","41.0","8.0","0.0","105.36929427520866","0","19.0","3","1","50"
"through2-3.0.1","6","5.0","4.0","386.18","false","102.98","3","3","4.0","false","0.0","0.0","0.0","26.0","61","0","6.0","9","0","false","3.75","1","2","1.0","false","31.0","6.0","0.0","121.6029383480163","1","1.0","10","0","53"
"gulp-uglify-3.0.2","0","4.0","4.0","6.97","false","13.93","1","0","1.0","false","0.0","0.0","0.0","2.0","12","0","0.0","1","0","false","0.5","0","0","1.0","false","6.0","1.0","0.0","124.10418820471267","0","0.0","1","0","8"
"babel-preset-react-6.24.1","0","8.0","8.0","39.86","false","39.86","1","4","2.0","false","0.0","0.0","0.0","4.0","21","0","1.0","1","0","false","1.0","0","3","1.0","false","12.0","2.0","0.0","109.07475977231704","0","1.0","1","1","22"
"react-dom-16.8.4","12","0.0","0.0","0.0","false","20.9","0","0","4.0","false","0.0","0.0","0.0","9.0","24","1","4.0","7","0","false","0.0","2","0","2.0","false","9.0","5.0","0.0","119.35610409683449","0","4.0","1","0","14"
