projectName,SingleLineComments,TotalNoOfOperands,NoOfUniqueOperands,HalsteadProgramEffort,ES2016Compliant,HalsteadProgramVolume,LargestSignatureInFunction,NoOfObjects,HighestCyclomaticComplexity,ES2017Compliant,LongestCallingChain,AvgCallingChain,AvgFanIn,TotalNoOfOperators,Sloc,MultiLineComments,LargestCognitiveComplexity,NoofStatementsInLargestFunction,HighestFanIn,ES2015Compliant,HalsteadDifficulty,AvgNoOfStatementsInFunction,NoOfPropertiesInLargestObject,AvgCyclomaticComplexity,ES2018Compliant,HalsteadProgramLength,NoOfUniqueOperators,AvgFanOut,MaintainabilityIndex,HighestFanOut,AvgCognitiveComplexity,NoOfFunctionsDeclarations,AvgNoOfPropertiesPerObject,Lloc
"mongodb-3.1.13","9","4.0","4.0","189.5","false","126.33","2","1","2.0","false","0.0","0.0","0.0","41.0","49","0","1.0","6","0","true","1.5","0","0","1.0","false","45.0","3.0","0.0","90.01670070674098","0","1.0","1","0","47"
"marked-0.6.1","90","79.0","57.0","67575.26","false","4875.56","4","47","223.0","false","0.0","0.0","0.0","699.0","1248","38","195.0","137","0","false","13.86","0","17","2.0","false","778.0","20.0","0.0","85.9827431825514","2","8.0","69","2","925"
"extend-3.0.2","16","21.0","21.0","2269.98","false","378.33","2","6","15.0","false","0.0","0.0","0.0","54.0","84","1","58.0","27","0","false","6.0","1","4","2.0","false","75.0","12.0","0.0","99.49649890265205","2","13.0","5","1","79"
"karma-webpack-3.0.5","18","42.0","38.0","4369.57","false","718.68","9","12","25.0","false","0.0","0.0","0.0","86.0","263","9","42.0","26","0","false","6.08","1","3","1.0","false","128.0","11.0","0.0","110.80837957833415","2","5.0","33","0","204"
"classnames-2.2.6","1","7.0","7.0","522.0","false","116.0","0","1","12.0","false","0.0","0.0","0.0","22.0","38","2","47.0","19","0","false","4.5","2","0","2.0","false","29.0","9.0","0.0","109.18386527134697","0","27.0","3","0","34"
"grunt-contrib-coffee-2.0.0","6","46.0","44.0","4551.52","false","725.92","4","8","22.0","false","0.0","0.0","1.0","79.0","215","1","49.0","24","4","false","6.27","0","5","1.0","false","125.0","12.0","1.0","106.59756134160044","5","3.0","23","2","162"
"xml2js-0.4.19","1","7.0","7.0","34.5","false","69.0","2","1","3.0","false","0.0","0.0","0.0","16.0","22","0","5.0","11","0","false","0.5","0","0","1.0","false","23.0","1.0","0.0","136.43195046165016","0","1.0","5","0","32"
"extract-text-webpack-plugin-3.0.2","0","0.0","0.0","0.0","false","0.0","0","0","1.0","false","0.0","0.0","0.0","1.0","2","0","0.0","0","0","false","0.0","0","0","1.0","false","1.0","1.0","0.0","159.7710156749289","0","0.0","0","0","2"
"url-loader-1.1.2","0","1.0","1.0","1.5","false","3.0","0","0","1.0","false","0.0","0.0","0.0","2.0","4","0","0.0","0","0","true","0.5","0","0","1.0","false","3.0","1.0","0.0","147.15534068012786","0","0.0","0","0","4"
"underscore.string-3.3.5","35","184.0","109.0","140554.78","false","5948.15","4","85","54.0","false","0.0","0.0","0.0","654.0","1027","16","262.0","81","1","false","23.63","0","72","1.0","false","838.0","28.0","0.0","101.43503075778582","4","8.0","170","2","1167"
"es6-promise-4.2.6","16","69.0","55.0","17905.64","false","1783.43","4","4","69.0","false","0.0","0.0","6.0","221.0","422","13","224.0","22","14","false","10.04","0","1","1.0","true","290.0","16.0","0.0","111.43548690965014","6","5.0","75","0","423"
"browser-sync-2.26.3","6","40.0","20.0","7901.96","false","718.36","3","16","7.0","false","0.0","0.0","0.0","105.0","358","49","6.0","22","1","false","11.0","0","7","1.0","false","145.0","11.0","0.0","111.27945450590025","5","0.0","54","2","268"
"babel-preset-stage-2-6.24.1","0","8.0","8.0","39.86","false","39.86","1","2","2.0","false","0.0","0.0","0.0","4.0","16","0","1.0","1","0","false","1.0","0","2","1.0","false","12.0","2.0","0.0","113.48008596315204","0","1.0","1","1","19"
"gulp-sass-4.0.2","47","23.0","22.0","1102.36","false","301.19","3","1","17.0","false","0.0","0.0","1.0","39.0","101","0","45.0","28","2","true","3.66","0","0","2.0","false","62.0","7.0","0.0","108.03685926539009","2","9.0","9","0","86"
"grunt-contrib-connect-2.0.0","27","33.0","32.0","3394.56","false","657.86","4","5","46.0","false","0.0","0.0","0.0","89.0","192","1","116.0","20","0","false","5.16","0","12","4.0","false","122.0","10.0","0.0","102.62130592238532","0","19.0","15","4","154"
"bower-1.8.8","17","17.0","17.0","1311.44","false","291.43","2","6","6.0","false","0.0","0.0","0.0","45.0","111","0","9.0","7","0","false","4.5","0","3","1.0","false","62.0","9.0","0.0","99.62420433409788","0","2.0","6","1","91"
"through-2.3.8","15","7.0","7.0","439.15","false","175.66","3","0","15.0","false","0.0","0.0","0.0","42.0","77","0","28.0","8","0","false","2.5","0","0","1.0","false","49.0","5.0","0.0","124.11694946052569","2","3.0","13","0","75"
"autoprefixer-9.4.10","0","17.0","17.0","2427.53","false","346.79","2","6","18.0","false","0.0","0.0","0.0","53.0","98","4","24.0","26","0","false","7.0","0","2","2.0","false","70.0","14.0","0.0","101.4302143186938","2","4.0","7","1","80"
"isparta-4.1.1","0","3.0","3.0","0.0","false","4.75","0","17","1.0","false","0.0","0.0","0.0","0.0","103","0","0.0","1","0","false","0.0","0","2","1.0","false","3.0","0.0","0.0","141.9734965985055","0","0.0","16","1","70"
"jsdoc-3.5.5","6","7.0","6.0","99.86","false","57.06","1","2","4.0","false","0.0","0.0","0.0","11.0","54","5","2.0","13","0","false","1.75","1","2","1.0","false","18.0","3.0","1.0","119.66007116580543","3","0.0","6","2","39"
"eslint-plugin-standard-4.0.0","0","0.0","0.0","0.0","false","0.0","0","3","1.0","false","0.0","0.0","0.0","1.0","15","0","0.0","0","0","false","0.0","0","4","1.0","false","1.0","1.0","0.0","127.1295867421442","0","0.0","0","3","12"
"grunt-release-0.14.0","11","42.0","37.0","5924.51","false","949.44","2","7","43.0","false","0.0","0.0","5.0","128.0","271","1","119.0","21","10","false","6.24","1","17","2.0","true","170.0","11.0","3.0","103.82965948537525","47","10.0","25","4","202"
"proxyquire-2.1.0","41","29.0","24.0","2173.5","false","450.0","4","4","9.0","false","0.0","0.0","0.0","61.0","185","7","14.0","14","0","false","4.83","1","3","1.0","false","90.0","8.0","0.0","113.19665393283728","4","2.0","24","0","142"
